week,year,week_number,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir
2/10/13,2013,7,20.977777777777778,19.0,10.666666666666666,3.8823529411764706,16.413793103448278,17.066666666666666,0.0,0.0,9.411764705882353,0.0
2/17/13,2013,8,52.44444444444444,38.0,16.0,8.411764705882353,15.241379310344827,6.4,0.0,0.0,10.196078431372548,0.0
2/24/13,2013,9,60.31111111111111,38.0,10.666666666666666,23.941176470588236,12.89655172413793,36.266666666666666,0.0,0.0,7.8431372549019605,0.0
3/3/13,2013,10,39.02877697841726,0.0,6.578947368421053,24.545454545454547,9.782608695652174,17.647058823529413,0.0,0.0,3.888888888888889,0.0
3/10/13,2013,11,39.02877697841726,0.0,2.6315789473684212,32.72727272727273,8.695652173913045,24.50980392156863,0.0,0.0,3.888888888888889,0.0
3/17/13,2013,12,28.9568345323741,0.0,3.947368421052632,32.72727272727273,10.869565217391305,27.450980392156865,0.0,0.0,5.0,0.0
3/24/13,2013,13,49.10071942446043,0.0,6.578947368421053,18.0,9.782608695652174,8.823529411764707,0.0,0.0,6.111111111111111,0.0
3/31/13,2013,14,18.884892086330936,0.0,5.2631578947368425,18.0,10.869565217391305,21.568627450980394,0.0,0.0,6.111111111111111,0.0
4/7/13,2013,15,47.17948717948718,0.0,2.1818181818181817,12.0,11.578947368421053,21.12,15.79746835443038,0.0,7.2727272727272725,0.0
4/14/13,2013,16,16.41025641025641,0.0,5.454545454545454,19.404255319148938,9.473684210526315,33.44,8.0,0.0,3.6363636363636362,0.0
4/21/13,2013,17,31.794871794871796,0.0,3.0,9.191489361702128,10.526315789473685,22.0,8.0,0.0,5.090909090909091,0.0
4/28/13,2013,18,24.615384615384617,0.0,4.363636363636363,19.404255319148938,8.421052631578947,11.44,16.20253164556962,0.0,4.0,0.0
5/5/13,2013,19,8.75,0.0,2.0,5.0,4.266666666666667,18.77777777777778,0.0,0.0,1.0666666666666667,0.0
5/12/13,2013,20,9.333333333333334,0.0,5.333333333333333,5.0,4.266666666666667,14.444444444444445,0.0,0.0,1.0,0.0
5/19/13,2013,21,18.083333333333332,0.0,2.6666666666666665,6.0,4.266666666666667,8.666666666666666,0.0,0.0,1.8666666666666667,0.0
5/26/13,2013,22,19.833333333333332,0.0,2.0,14.0,3.2,10.11111111111111,0.0,0.0,1.0666666666666667,0.0
6/2/13,2013,23,47.31578947368421,14.673913043478262,2.0,8.4375,3.75,12.465753424657535,0.0,77.0,4.0,0.0
6/9/13,2013,24,47.31578947368421,14.673913043478262,4.0,12.65625,3.75,21.095890410958905,0.0,77.0,1.0,0.0
6/16/13,2013,25,29.0,15.65217391304348,6.0,9.84375,5.0,19.178082191780824,0.0,77.0,1.0,0.0
6/23/13,2013,26,50.36842105263158,9.0,2.0,14.0625,3.75,6.712328767123288,0.0,77.0,1.0,0.0
6/30/13,2013,27,29.0,9.0,2.0,9.0,3.75,10.547945205479452,0.0,77.0,1.0,0.0
7/7/13,2013,28,11.0,9.0,1.4545454545454546,8.0,1.0909090909090908,4.406779661016949,8.0,0.0,1.0,0.0
7/14/13,2013,29,11.0,18.0,2.909090909090909,4.0,3.272727272727273,4.406779661016949,8.0,0.0,1.0,0.0
7/21/13,2013,30,22.0,18.0,2.1818181818181817,8.0,3.272727272727273,4.406779661016949,8.0,0.0,4.0,0.0
7/28/13,2013,31,22.0,9.0,1.4545454545454546,4.0,4.363636363636363,6.779661016949152,8.0,0.0,1.0,0.0
8/4/13,2013,32,22.349206349206348,0.0,1.6,19.024390243902438,4.923076923076923,4.355555555555555,8.0,0.0,1.0,0.0
8/11/13,2013,33,22.0,0.0,1.6,14.634146341463415,3.6923076923076925,4.355555555555555,8.0,0.0,1.0,0.0
8/18/13,2013,34,44.698412698412696,0.0,1.6,8.78048780487805,2.4615384615384617,11.822222222222223,8.0,0.0,1.0,0.0
8/25/13,2013,35,20.952380952380953,0.0,3.2,17.5609756097561,4.923076923076923,7.466666666666667,32.0,0.0,4.0,0.0
9/1/13,2013,36,13.643410852713178,49.31506849315068,25.157232704402514,29.48275862068966,7.0,15.255102040816325,0.0,72.0,2.3529411764705883,0.0
9/8/13,2013,37,18.759689922480618,47.67123287671233,23.89937106918239,55.862068965517246,10.0,24.642857142857142,0.0,72.0,1.7647058823529411,0.0
9/15/13,2013,38,25.58139534883721,23.013698630136986,35.22012578616352,32.58620689655173,14.0,24.642857142857142,0.0,72.0,5.882352941176471,0.0
9/22/13,2013,39,26.434108527131784,72.32876712328768,54.088050314465406,76.0344827586207,18.0,29.33673469387755,0.0,72.0,2.0,0.0
9/29/13,2013,40,25.58139534883721,47.67123287671233,61.63522012578616,76.0344827586207,21.0,21.122448979591834,0.0,360.0,2.0,0.0
10/6/13,2013,41,34.0,83.0,89.05454545454545,89.40397350993378,19.894736842105264,16.88888888888889,7.0,0.0,3.2941176470588234,0.0
10/13/13,2013,42,56.79120879120879,62.96551724137931,76.12727272727273,79.47019867549669,19.894736842105264,14.074074074074074,7.0,0.0,1.8823529411764706,0.0
10/20/13,2013,43,34.37362637362637,123.06896551724138,79.0,47.682119205298015,22.105263157894736,22.51851851851852,7.0,0.0,1.411764705882353,0.0
10/27/13,2013,44,44.83516483516483,62.96551724137931,71.81818181818181,83.44370860927152,22.105263157894736,22.51851851851852,7.0,0.0,1.411764705882353,0.0
11/3/13,2013,45,23.703703703703702,28.0,62.09708737864078,71.21739130434783,14.56,21.942857142857143,0.0,0.0,2.9473684210526314,0.0
11/10/13,2013,46,23.703703703703702,28.0,42.99029126213592,52.95652173913044,12.48,19.2,0.0,0.0,1.263157894736842,0.0
